row_type,section,key,type,modules,bar,currency,warband,hunt,achievement,owner_now,owner_target,status,notes
field,Currency and warband,currencyWarbandUseCurrencyTheme,bool,Modules/CurrencyTracker.lua,-,-,RW,-,-,L,V2,current,Inherit currency theme toggle
field,Currency and warband,currencyWarbandTheme,string,Modules/CurrencyTracker.lua,-,-,RW,-,-,L,V2,current,Warband local override theme
field,Currency and warband,currencyWarbandTrackedIDs,table,Modules/CurrencyTracker.lua,-,-,RW,-,-,L,V2,current,Warband tracked currencies
field,Currency and warband,currencyWarbandShowPreyTrack,bool,Modules/CurrencyTracker.lua,-,-,RW,-,-,L,V2,current,Show prey triplet in warband
field,Currency and warband,currencyWarbandPreyMode,enum,Modules/CurrencyTracker.lua,-,-,RW,-,-,L,V2,current,available completed mode
field,Hunt tracker,huntScannerEnabled,bool,Modules/HuntScanner.lua;Modules/Settings.lua,-,-,-,RW,-,L,V2,current,Hunt tracker module toggle
field,Hunt tracker,huntScannerSide,enum,Modules/HuntScanner.lua,-,-,-,RW,-,L,V2,current,left right side
field,Hunt tracker,huntScannerWidth/Height,number,Modules/HuntScanner.lua,-,-,-,RW,-,L,V2,current,Window sizing
field,Hunt tracker,huntScannerFontSize,number,Modules/HuntScanner.lua,-,-,-,RW,-,L,V2,current,Text size
field,Hunt tracker,huntScannerScale,number,Modules/HuntScanner.lua,-,-,-,RW,-,L,V2,current,Scale
field,Hunt tracker,huntScannerGroupBy,enum,Modules/HuntScanner.lua,-,-,-,RW,-,L,V2,current,none difficulty zone
field,Hunt tracker,huntScannerSortBy,enum,Modules/HuntScanner.lua,-,-,-,RW,-,L,V2,current,difficulty zone title
field,Hunt tracker,huntScannerAnchorAlign,enum,Modules/HuntScanner.lua,-,-,-,RW,-,L,V2,current,top middle bottom
field,Hunt tracker,huntScannerUseCurrencyTheme,bool,Modules/HuntScanner.lua,-,-,-,RW,-,L,V2,current,Shared theme use toggle
field,Hunt tracker,huntScannerTheme,string,Modules/HuntScanner.lua,-,-,-,RW,-,L,V2,current,Local override theme
planned,Slice G planned,modules.bar.enabled,bool,planned,RW,-,-,-,-,n/a,V2,planned,Hard disable bar runtime when off
planned,Slice G planned,modules.sounds.enabled,bool,planned,-,-,-,-,-,n/a,V2,planned,Disable sound runtime and setting edits
planned,Slice G planned,modules.currency.enabled,bool,planned,-,RW,-,-,-,n/a,V2,planned,Disable currency runtime and setting edits
planned,Slice G planned,modules.warband.enabled,bool,planned,-,-,RW,-,-,n/a,V2,planned,Disable warband runtime and setting edits
planned,Slice G planned,modules.achievement.enabled,bool,planned,-,-,-,-,RW,n/a,V2,planned,Achievement module enable gate
planned,Slice G planned,modules.hunt.enabled,bool,planned,-,-,-,RW,-,n/a,V2,planned,Disable hunt runtime and setting edits
planned,Slice G planned,sharedTheme.fontKey,string,planned,R,R,R,R,R,n/a,V2,planned,Shared typography baseline
planned,Slice G planned,sharedTheme.scale,number,planned,R,R,R,R,R,n/a,V2,planned,Shared scale baseline
planned,Slice G planned,sharedTheme.palette,table,planned,R,R,R,R,R,n/a,V2,planned,Shared color tokens
planned,Slice G planned,difficultySymbols.auto[diff],string,planned,-,-,R,R,R,n/a,V2,planned,Localized auto initials with collision expansion
planned,Slice G planned,difficultySymbols.override[diff],string,planned,-,-,RW,RW,RW,n/a,V2,planned,User override identifier text
planned,Slice G planned,difficultySymbols.color[diff],color,planned,-,-,RW,RW,RW,n/a,V2,planned,Per difficulty identifier color
